"client_id","client_name","client_archive"
"1","innovente_old","1"
"2","kkl_old","1"
"3","oas_old","1"
"4","wohhup_old","1"
"5","alric",""
"6","hsc",""
"7","cleansolution",""
"8","lumchang",""
"9","firstcom",""
"10","multiscaff",""
"11","sante",""
"12","tongloong",""
"13","oas",""
"14","sck",""
"15","kkl",""
"16","primestructures",""
"17","hexacon",""
"18","bms",""
"19","hitek",""
"20","wohhup",""
"21","keppelshipyard",""
"22","greatearth",""
"23","seiko",""
"24","weehur",""
"25","boustead",""
"26","euroscaffold_v2",""
